Word,Exclude?,Occurrences,ClassNum,C_N,Unc_N,Sing_N,Plu_N,GrC_N,GrUnc_N,Attr_N,PostPos_N,Voc_N,Proper_N,Exp_N
shortcoming,N,71,1,Y,N,N,N,N,N,N,N,N,N,N
footing,N,69,1,N,Y,Y,N,N,N,N,N,N,N,N
digging,N,68,1,Y,Y,N,N,N,N,N,N,N,N,N
housekeeping,?,68,1,N,Y,N,N,N,N,N,N,N,N,N
ironing,N,68,1,N,Y,N,N,N,N,N,N,N,N,N
ling,Y,66,1,Y,Y,N,N,N,N,N,N,N,N,N
hiding,N,65,1,Y,Y,N,N,N,N,N,N,N,N,N
sling,Y,63,1,Y,N,N,N,N,N,N,N,N,N,N
knitting,N,62,1,N,Y,N,N,N,N,N,N,N,N,N
earring,Y,59,1,Y,N,N,N,N,N,N,N,N,N,N
shaving,N,58,1,Y,N,N,N,N,N,Y,N,N,N,N
lettering,N,57,1,N,Y,N,N,N,N,N,N,N,N,N
craving,N,55,1,Y,N,N,N,N,N,N,N,N,N,N
lovemaking,?,55,1,N,Y,N,N,N,N,N,N,N,N,N
yearning,N,55,1,Y,Y,N,N,N,N,N,N,N,N,N
binding,N,54,1,Y,Y,N,N,N,N,N,N,N,N,N
plaything,Y,54,1,Y,N,N,N,N,N,N,N,N,N,N
clipping,N,53,1,Y,N,N,N,N,N,N,N,N,N,N
bedding,N,51,1,N,Y,N,N,N,N,N,N,N,N,N
daring,N,51,1,N,Y,N,N,N,N,N,N,N,N,N
knowing,N,51,1,N,N,N,N,N,N,N,N,N,N,Y
reckoning,N,51,1,Y,Y,N,N,N,N,N,N,N,N,N
inkling,N,50,1,N,Y,Y,N,N,N,N,N,N,N,N
learning,N,50,1,N,Y,N,N,N,N,N,N,N,N,N
trimming,N,50,1,Y,Y,N,N,N,N,N,N,N,N,N
failing,N,48,1,Y,N,N,N,N,N,N,N,N,N,N
lodging,N,48,1,N,Y,N,N,N,N,N,N,N,N,N
ring,Y,48,1,Y,N,Y,N,N,N,N,N,N,N,N
seedling,Y,48,1,Y,N,N,N,N,N,N,N,N,N,N
sprinkling,N,48,1,Y,N,N,N,N,N,N,N,N,N,N
motoring,N,47,1,N,Y,N,N,N,N,N,N,N,N,N
loathing,N,46,1,N,Y,N,N,N,N,N,N,N,N,N
sapling,Y,44,1,Y,N,N,N,N,N,N,N,N,N,N
wrapping,N,44,1,Y,Y,N,N,N,N,N,N,N,N,N
foreboding,N,43,1,Y,Y,N,N,N,N,N,N,N,N,N
casing,N,42,1,Y,N,N,N,N,N,N,N,N,N,N
helping,N,42,1,Y,N,N,N,N,N,N,N,N,N,N
icing,N,42,1,N,Y,N,N,N,N,N,N,N,N,N
awakening,N,41,1,Y,N,N,N,N,N,N,N,N,N,N
netting,N,41,1,N,Y,N,N,N,N,N,N,N,N,N
whaling,N,41,1,N,Y,N,N,N,N,N,N,N,N,N
polling,N,40,1,N,Y,N,N,N,N,N,N,N,N,N
mugging,N,39,1,Y,Y,N,N,N,N,N,N,N,N,N
fencing,N,38,1,N,Y,N,N,N,N,N,N,N,N,N
sibling,N,38,1,Y,N,N,N,N,N,N,N,N,N,N
